company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
TCS,2013-03-01 00:00:00,+,-,-,Reinvestor
TCS,2014-03-01 00:00:00,+,-,-,Reinvestor
TCS,2015-03-01 00:00:00,+,-,-,Reinvestor
TCS,2016-03-01 00:00:00,+,-,-,Reinvestor
TCS,2017-03-01 00:00:00,+,-,-,Reinvestor
TCS,2018-03-01 00:00:00,+,+,-,Liquidating Assets
TCS,2019-03-01 00:00:00,+,+,-,Liquidating Assets
TCS,2020-03-01 00:00:00,+,+,-,Liquidating Assets
TCS,2021-03-01 00:00:00,+,-,-,Reinvestor
TCS,2022-03-01 00:00:00,+,-,-,Reinvestor
TCS,2023-03-01 00:00:00,+,+,-,Liquidating Assets
TCS,2024-03-01 00:00:00,+,+,-,Liquidating Assets
ABB,2012-12-01 00:00:00,+,-,-,Reinvestor
ABB,2014-03-01 00:00:00,+,-,-,Reinvestor
ABB,2015-03-01 00:00:00,+,-,-,Reinvestor
ABB,2016-03-01 00:00:00,+,-,-,Reinvestor
ABB,2017-03-01 00:00:00,+,-,-,Reinvestor
ABB,2018-03-01 00:00:00,+,-,-,Reinvestor
ABB,2019-03-01 00:00:00,+,-,-,Reinvestor
ABB,2020-03-01 00:00:00,+,-,-,Reinvestor
ABB,2021-03-01 00:00:00,+,-,-,Reinvestor
ABB,2022-03-01 00:00:00,+,-,-,Reinvestor
ABB,2023-03-01 00:00:00,+,-,-,Reinvestor
ABB,2024-03-01 00:00:00,+,-,-,Reinvestor
ABB,2014-03-01 00:00:00,+,+,+,Cash Accumulator
ABB,2015-03-01 00:00:00,-,-,+,Growth Funded by Debt
ABB,2016-03-01 00:00:00,+,-,-,Reinvestor
ABB,2017-03-01 00:00:00,+,-,-,Reinvestor
ABB,2018-03-01 00:00:00,+,-,+,Mixed
ABB,2019-03-01 00:00:00,+,-,+,Mixed
ABB,2020-03-01 00:00:00,+,-,+,Mixed
ABB,2021-03-01 00:00:00,+,-,-,Reinvestor
ABB,2022-03-01 00:00:00,+,-,-,Reinvestor
ABB,2023-03-01 00:00:00,+,-,+,Mixed
ABB,2024-03-01 00:00:00,+,-,-,Reinvestor
ADANIENSOL,2014-03-01 00:00:00,+,+,+,Cash Accumulator
ADANIENSOL,2015-03-01 00:00:00,-,-,+,Growth Funded by Debt
ADANIENSOL,2016-03-01 00:00:00,+,-,-,Reinvestor
ADANIENSOL,2017-03-01 00:00:00,+,-,-,Reinvestor
ADANIENSOL,2018-03-01 00:00:00,+,-,+,Mixed
ADANIENSOL,2019-03-01 00:00:00,+,-,+,Mixed
ADANIENSOL,2020-03-01 00:00:00,+,-,+,Mixed
ADANIENSOL,2021-03-01 00:00:00,+,-,-,Reinvestor
ADANIENSOL,2022-03-01 00:00:00,+,-,-,Reinvestor
ADANIENSOL,2023-03-01 00:00:00,+,-,+,Mixed
ADANIENSOL,2024-03-01 00:00:00,+,-,-,Reinvestor
ADANIENT,2013-03-01 00:00:00,+,-,+,Mixed
ADANIENT,2014-03-01 00:00:00,+,-,-,Reinvestor
ADANIENT,2015-03-01 00:00:00,+,-,+,Mixed
ADANIENT,2016-03-01 00:00:00,+,-,-,Reinvestor
ADANIENT,2017-03-01 00:00:00,+,-,+,Mixed
ADANIENT,2018-03-01 00:00:00,+,-,+,Mixed
ADANIENT,2019-03-01 00:00:00,+,+,-,Liquidating Assets
ADANIENT,2020-03-01 00:00:00,+,-,-,Reinvestor
ADANIENT,2021-03-01 00:00:00,+,-,+,Mixed
ADANIENT,2022-03-01 00:00:00,+,-,+,Mixed
ADANIENT,2023-03-01 00:00:00,+,-,-,Reinvestor
ADANIENT,2024-03-01 00:00:00,+,-,+,Mixed
ADANIGREEN,2017-03-01 00:00:00,+,-,+,Mixed
ADANIGREEN,2018-03-01 00:00:00,+,-,+,Mixed
ADANIGREEN,2019-03-01 00:00:00,+,-,+,Mixed
ADANIGREEN,2020-03-01 00:00:00,+,-,+,Mixed
ADANIGREEN,2021-03-01 00:00:00,+,-,+,Mixed
ADANIGREEN,2022-03-01 00:00:00,+,-,+,Mixed
ADANIGREEN,2023-03-01 00:00:00,+,-,-,Reinvestor
ADANIGREEN,2024-03-01 00:00:00,+,-,+,Mixed
ADANIPORTS,2013-03-01 00:00:00,+,-,+,Mixed
ADANIPORTS,2014-03-01 00:00:00,+,-,+,Mixed
ADANIPORTS,2015-03-01 00:00:00,+,-,-,Reinvestor
ADANIPORTS,2016-03-01 00:00:00,+,-,+,Mixed
ADANIPORTS,2017-03-01 00:00:00,+,-,-,Reinvestor
ADANIPORTS,2018-03-01 00:00:00,+,-,-,Reinvestor
ADANIPORTS,2019-03-01 00:00:00,+,-,+,Mixed
ADANIPORTS,2020-03-01 00:00:00,+,-,-,Reinvestor
ADANIPORTS,2021-03-01 00:00:00,+,-,+,Mixed
ADANIPORTS,2022-03-01 00:00:00,+,-,-,Reinvestor
ADANIPORTS,2023-03-01 00:00:00,+,-,-,Reinvestor
ADANIPORTS,2024-03-01 00:00:00,+,-,-,Reinvestor
ADANIPOWER,2013-03-01 00:00:00,+,-,+,Mixed
ADANIPOWER,2014-03-01 00:00:00,+,-,+,Mixed
ADANIPOWER,2015-03-01 00:00:00,+,-,-,Reinvestor
ADANIPOWER,2016-03-01 00:00:00,+,-,-,Reinvestor
ADANIPOWER,2017-03-01 00:00:00,+,-,-,Reinvestor
ADANIPOWER,2018-03-01 00:00:00,+,-,-,Reinvestor
ADANIPOWER,2019-03-01 00:00:00,+,-,-,Reinvestor
ADANIPOWER,2020-03-01 00:00:00,+,-,-,Reinvestor
ADANIPOWER,2021-03-01 00:00:00,+,-,-,Reinvestor
ADANIPOWER,2022-03-01 00:00:00,+,+,-,Liquidating Assets
ADANIPOWER,2023-03-01 00:00:00,+,+,-,Liquidating Assets
ADANIPOWER,2024-03-01 00:00:00,+,+,-,Liquidating Assets
AMBUJACEM,2012-12-01 00:00:00,+,-,-,Reinvestor
AMBUJACEM,2013-12-01 00:00:00,+,-,-,Reinvestor
AMBUJACEM,2014-12-01 00:00:00,+,-,-,Reinvestor
AMBUJACEM,2015-12-01 00:00:00,+,-,-,Reinvestor
AMBUJACEM,2016-12-01 00:00:00,+,-,-,Reinvestor
AMBUJACEM,2017-12-01 00:00:00,+,-,-,Reinvestor
AMBUJACEM,2018-12-01 00:00:00,+,-,-,Reinvestor
AMBUJACEM,2019-12-01 00:00:00,+,-,-,Reinvestor
AMBUJACEM,2020-12-01 00:00:00,+,-,-,Reinvestor
AMBUJACEM,2021-12-01 00:00:00,+,-,-,Reinvestor
AMBUJACEM,2023-03-01 00:00:00,+,-,+,Mixed
AMBUJACEM,2024-03-01 00:00:00,+,-,+,Mixed
APOLLOHOSP,2013-03-01 00:00:00,+,-,+,Mixed
APOLLOHOSP,2014-03-01 00:00:00,+,-,-,Reinvestor
APOLLOHOSP,2015-03-01 00:00:00,+,-,+,Mixed
APOLLOHOSP,2016-03-01 00:00:00,+,-,+,Mixed
APOLLOHOSP,2017-03-01 00:00:00,+,-,+,Mixed
APOLLOHOSP,2018-03-01 00:00:00,+,-,-,Reinvestor
APOLLOHOSP,2019-03-01 00:00:00,+,-,-,Reinvestor
APOLLOHOSP,2020-03-01 00:00:00,+,-,-,Reinvestor
APOLLOHOSP,2021-03-01 00:00:00,+,-,-,Reinvestor
APOLLOHOSP,2022-03-01 00:00:00,+,-,-,Reinvestor
APOLLOHOSP,2023-03-01 00:00:00,+,-,-,Reinvestor
APOLLOHOSP,2024-03-01 00:00:00,+,-,-,Reinvestor
ASIANPAINT,2013-03-01 00:00:00,+,-,-,Reinvestor
ASIANPAINT,2014-03-01 00:00:00,+,-,-,Reinvestor
ASIANPAINT,2015-03-01 00:00:00,+,-,-,Reinvestor
ASIANPAINT,2016-03-01 00:00:00,+,-,-,Reinvestor
ASIANPAINT,2017-03-01 00:00:00,+,-,-,Reinvestor
ASIANPAINT,2018-03-01 00:00:00,+,-,-,Reinvestor
ASIANPAINT,2019-03-01 00:00:00,+,-,-,Reinvestor
ASIANPAINT,2020-03-01 00:00:00,+,-,-,Reinvestor
ASIANPAINT,2021-03-01 00:00:00,+,-,-,Reinvestor
ASIANPAINT,2022-03-01 00:00:00,+,-,-,Reinvestor
ASIANPAINT,2023-03-01 00:00:00,+,-,-,Reinvestor
ASIANPAINT,2024-03-01 00:00:00,+,-,-,Reinvestor
AGTL,2018-03-01 00:00:00,+,-,+,Mixed
AGTL,2019-03-01 00:00:00,+,+,-,Liquidating Assets
AGTL,2020-03-01 00:00:00,+,-,-,Reinvestor
AGTL,2021-03-01 00:00:00,+,-,+,Mixed
AGTL,2022-03-01 00:00:00,+,-,+,Mixed
AGTL,2023-03-01 00:00:00,+,-,+,Mixed
AGTL,2024-03-01 00:00:00,+,-,-,Reinvestor
AXISBANK,2013-03-01 00:00:00,+,-,+,Mixed
AXISBANK,2014-03-01 00:00:00,+,-,+,Mixed
AXISBANK,2015-03-01 00:00:00,-,-,+,Growth Funded by Debt
AXISBANK,2016-03-01 00:00:00,-,+,+,Distress Signal
AXISBANK,2017-03-01 00:00:00,+,-,-,Reinvestor
AXISBANK,2018-03-01 00:00:00,-,-,+,Growth Funded by Debt
AXISBANK,2019-03-01 00:00:00,+,-,+,Mixed
AXISBANK,2020-03-01 00:00:00,+,-,+,Mixed
AXISBANK,2021-03-01 00:00:00,+,-,+,Mixed
AXISBANK,2022-03-01 00:00:00,+,-,+,Mixed
AXISBANK,2023-03-01 00:00:00,+,-,+,Mixed
AXISBANK,2024-03-01 00:00:00,-,-,+,Growth Funded by Debt
BAJAJ-AUTO,2013-03-01 00:00:00,+,-,-,Reinvestor
BAJAJ-AUTO,2014-03-01 00:00:00,+,-,-,Reinvestor
BAJAJ-AUTO,2015-03-01 00:00:00,+,-,-,Reinvestor
BAJAJ-AUTO,2016-03-01 00:00:00,+,-,-,Reinvestor
BAJAJ-AUTO,2017-03-01 00:00:00,+,-,-,Reinvestor
BAJAJ-AUTO,2018-03-01 00:00:00,+,-,-,Reinvestor
BAJAJ-AUTO,2019-03-01 00:00:00,+,-,-,Reinvestor
BAJAJ-AUTO,2020-03-01 00:00:00,+,+,-,Liquidating Assets
BAJAJ-AUTO,2021-03-01 00:00:00,+,-,-,Reinvestor
BAJAJ-AUTO,2022-03-01 00:00:00,+,+,-,Liquidating Assets
BAJAJ-AUTO,2023-03-01 00:00:00,+,+,-,Liquidating Assets
BAJAJ-AUTO,2024-03-01 00:00:00,+,-,-,Reinvestor
BAJAJ-AUTO,2013-03-01 00:00:00,+,-,-,Reinvestor
BAJAJ-AUTO,2014-03-01 00:00:00,+,-,-,Reinvestor
BAJAJ-AUTO,2015-03-01 00:00:00,+,-,-,Reinvestor
BAJAJ-AUTO,2016-03-01 00:00:00,+,-,-,Reinvestor
BAJAJ-AUTO,2017-03-01 00:00:00,+,-,-,Reinvestor
BAJAJ-AUTO,2018-03-01 00:00:00,+,-,-,Reinvestor
BAJAJ-AUTO,2019-03-01 00:00:00,+,-,-,Reinvestor
BAJAJ-AUTO,2020-03-01 00:00:00,+,+,-,Liquidating Assets
BAJAJ-AUTO,2021-03-01 00:00:00,+,-,-,Reinvestor
BAJAJ-AUTO,2022-03-01 00:00:00,+,+,-,Liquidating Assets
BAJAJ-AUTO,2023-03-01 00:00:00,+,+,-,Liquidating Assets
BAJAJ-AUTO,2024-03-01 00:00:00,+,-,-,Reinvestor
BAJAJFINSV,2013-03-01 00:00:00,-,+,+,Distress Signal
BAJAJFINSV,2014-03-01 00:00:00,-,+,+,Distress Signal
BAJAJFINSV,2015-03-01 00:00:00,-,+,+,Distress Signal
BAJAJFINSV,2016-03-01 00:00:00,-,-,+,Growth Funded by Debt
BAJAJFINSV,2017-03-01 00:00:00,-,+,+,Distress Signal
BAJAJFINSV,2018-03-01 00:00:00,-,-,+,Growth Funded by Debt
BAJAJFINSV,2019-03-01 00:00:00,-,-,+,Growth Funded by Debt
BAJAJFINSV,2020-03-01 00:00:00,-,-,+,Growth Funded by Debt
BAJAJFINSV,2021-03-01 00:00:00,+,-,+,Mixed
BAJAJFINSV,2022-03-01 00:00:00,-,+,+,Distress Signal
BAJAJFINSV,2023-03-01 00:00:00,-,-,+,Growth Funded by Debt
BAJAJFINSV,2024-03-01 00:00:00,-,-,+,Growth Funded by Debt
BAJAJHLDNG,2013-03-01 00:00:00,+,-,-,Reinvestor
BAJAJHLDNG,2014-03-01 00:00:00,+,-,-,Reinvestor
BAJAJHLDNG,2015-03-01 00:00:00,+,-,-,Reinvestor
BAJAJHLDNG,2016-03-01 00:00:00,+,+,-,Liquidating Assets
BAJAJHLDNG,2017-03-01 00:00:00,-,-,-,Pre-Revenue
BAJAJHLDNG,2018-03-01 00:00:00,+,-,-,Reinvestor
BAJAJHLDNG,2019-03-01 00:00:00,+,-,-,Reinvestor
BAJAJHLDNG,2020-03-01 00:00:00,+,-,-,Reinvestor
BAJAJHLDNG,2021-03-01 00:00:00,+,-,-,Reinvestor
BAJAJHLDNG,2022-03-01 00:00:00,+,-,-,Reinvestor
BAJAJHLDNG,2023-03-01 00:00:00,+,-,-,Reinvestor
BAJAJHLDNG,2024-03-01 00:00:00,+,-,-,Reinvestor
BAJFINANCE,2015-03-01 00:00:00,-,-,+,Growth Funded by Debt
BAJFINANCE,2016-03-01 00:00:00,-,-,+,Growth Funded by Debt
BAJFINANCE,2017-03-01 00:00:00,-,-,+,Growth Funded by Debt
BAJFINANCE,2018-03-01 00:00:00,-,+,+,Distress Signal
BAJFINANCE,2019-03-01 00:00:00,-,-,+,Growth Funded by Debt
BAJFINANCE,2020-03-01 00:00:00,-,-,+,Growth Funded by Debt
BAJFINANCE,2021-03-01 00:00:00,-,-,+,Growth Funded by Debt
BAJFINANCE,2022-03-01 00:00:00,-,+,+,Distress Signal
BAJFINANCE,2023-03-01 00:00:00,-,-,+,Growth Funded by Debt
BAJFINANCE,2024-03-01 00:00:00,-,-,+,Growth Funded by Debt
BANKBARODA,2013-03-01 00:00:00,+,-,-,Reinvestor
BANKBARODA,2014-03-01 00:00:00,+,-,+,Mixed
BANKBARODA,2015-03-01 00:00:00,+,-,-,Reinvestor
BANKBARODA,2016-03-01 00:00:00,-,-,-,Pre-Revenue
BANKBARODA,2017-03-01 00:00:00,+,-,-,Reinvestor
BANKBARODA,2018-03-01 00:00:00,-,-,+,Growth Funded by Debt
BANKBARODA,2019-03-01 00:00:00,-,-,+,Growth Funded by Debt
BANKBARODA,2020-03-01 00:00:00,+,-,+,Mixed
BANKBARODA,2021-03-01 00:00:00,-,-,-,Pre-Revenue
BANKBARODA,2022-03-01 00:00:00,+,-,-,Reinvestor
BANKBARODA,2023-03-01 00:00:00,-,-,-,Pre-Revenue
BANKBARODA,2024-03-01 00:00:00,-,-,+,Growth Funded by Debt
BEL,2013-03-01 00:00:00,-,+,-,Unknown
BEL,2014-03-01 00:00:00,-,+,-,Unknown
BEL,2015-03-01 00:00:00,+,-,-,Reinvestor
BEL,2016-03-01 00:00:00,+,-,-,Reinvestor
BEL,2017-03-01 00:00:00,-,+,-,Unknown
BEL,2018-03-01 00:00:00,-,-,-,Pre-Revenue
BEL,2019-03-01 00:00:00,+,-,-,Reinvestor
BEL,2020-03-01 00:00:00,+,-,-,Reinvestor
BEL,2021-03-01 00:00:00,+,-,-,Reinvestor
BEL,2022-03-01 00:00:00,+,-,-,Reinvestor
BEL,2023-03-01 00:00:00,+,+,-,Liquidating Assets
BEL,2024-03-01 00:00:00,+,-,-,Reinvestor
BHARTIARTL,2013-03-01 00:00:00,+,-,-,Reinvestor
BHARTIARTL,2014-03-01 00:00:00,+,-,+,Mixed
BHARTIARTL,2015-03-01 00:00:00,+,-,-,Reinvestor
BHARTIARTL,2016-03-01 00:00:00,+,-,-,Reinvestor
BHARTIARTL,2017-03-01 00:00:00,+,-,-,Reinvestor
BHARTIARTL,2018-03-01 00:00:00,+,-,+,Mixed
BHARTIARTL,2019-03-01 00:00:00,+,-,+,Mixed
BHARTIARTL,2020-03-01 00:00:00,+,-,+,Mixed
BHARTIARTL,2021-03-01 00:00:00,+,-,-,Reinvestor
BHARTIARTL,2022-03-01 00:00:00,+,-,-,Reinvestor
BHARTIARTL,2023-03-01 00:00:00,+,-,-,Reinvestor
BHARTIARTL,2024-03-01 00:00:00,+,-,-,Reinvestor
BHEL,2013-03-01 00:00:00,+,-,+,Mixed
BHEL,2014-03-01 00:00:00,+,-,+,Mixed
BHEL,2015-03-01 00:00:00,+,+,-,Liquidating Assets
BHEL,2016-03-01 00:00:00,+,+,-,Liquidating Assets
BHEL,2017-03-01 00:00:00,+,-,-,Reinvestor
BHEL,2018-03-01 00:00:00,+,+,-,Liquidating Assets
BHEL,2019-03-01 00:00:00,-,+,-,Unknown
BHEL,2020-03-01 00:00:00,-,+,+,Distress Signal
BHEL,2021-03-01 00:00:00,+,-,-,Reinvestor
BHEL,2022-03-01 00:00:00,+,-,-,Reinvestor
BHEL,2023-03-01 00:00:00,-,+,+,Distress Signal
BHEL,2024-03-01 00:00:00,-,+,+,Distress Signal
BOSCHLTD,2012-12-01 00:00:00,+,-,-,Reinvestor
BOSCHLTD,2013-12-01 00:00:00,+,-,-,Reinvestor
BOSCHLTD,2015-03-01 00:00:00,+,-,-,Reinvestor
BOSCHLTD,2016-03-01 00:00:00,+,-,-,Reinvestor
BOSCHLTD,2017-03-01 00:00:00,+,+,-,Liquidating Assets
BOSCHLTD,2018-03-01 00:00:00,+,-,-,Reinvestor
BOSCHLTD,2019-03-01 00:00:00,+,+,-,Liquidating Assets
BOSCHLTD,2020-03-01 00:00:00,+,-,-,Reinvestor
BOSCHLTD,2021-03-01 00:00:00,+,-,-,Reinvestor
BOSCHLTD,2022-03-01 00:00:00,+,-,-,Reinvestor
BOSCHLTD,2023-03-01 00:00:00,+,+,-,Liquidating Assets
BOSCHLTD,2024-03-01 00:00:00,+,+,-,Liquidating Assets
BPCL,2013-03-01 00:00:00,+,-,-,Reinvestor
BPCL,2014-03-01 00:00:00,+,-,-,Reinvestor
BPCL,2015-03-01 00:00:00,+,-,-,Reinvestor
BPCL,2016-03-01 00:00:00,+,-,-,Reinvestor
BPCL,2017-03-01 00:00:00,+,-,+,Mixed
BPCL,2018-03-01 00:00:00,+,-,-,Reinvestor
BPCL,2019-03-01 00:00:00,+,-,+,Mixed
BPCL,2020-03-01 00:00:00,+,-,+,Mixed
BPCL,2021-03-01 00:00:00,+,-,-,Reinvestor
BPCL,2022-03-01 00:00:00,+,-,-,Reinvestor
BPCL,2023-03-01 00:00:00,+,-,-,Reinvestor
BPCL,2024-03-01 00:00:00,+,-,-,Reinvestor
BRITANNIA,2013-03-01 00:00:00,+,+,-,Liquidating Assets
BRITANNIA,2014-03-01 00:00:00,+,-,-,Reinvestor
BRITANNIA,2015-03-01 00:00:00,+,-,-,Reinvestor
BRITANNIA,2016-03-01 00:00:00,+,-,-,Reinvestor
BRITANNIA,2017-03-01 00:00:00,+,-,-,Reinvestor
BRITANNIA,2018-03-01 00:00:00,+,-,-,Reinvestor
BRITANNIA,2019-03-01 00:00:00,+,-,-,Reinvestor
BRITANNIA,2020-03-01 00:00:00,+,-,+,Mixed
BRITANNIA,2021-03-01 00:00:00,+,+,-,Liquidating Assets
BRITANNIA,2022-03-01 00:00:00,+,+,-,Liquidating Assets
BRITANNIA,2023-03-01 00:00:00,+,-,-,Reinvestor
BRITANNIA,2024-03-01 00:00:00,+,+,-,Liquidating Assets
CANBK,2013-03-01 00:00:00,+,-,-,Reinvestor
CANBK,2014-03-01 00:00:00,+,-,-,Reinvestor
CANBK,2015-03-01 00:00:00,+,-,-,Reinvestor
CANBK,2016-03-01 00:00:00,+,-,-,Reinvestor
CANBK,2017-03-01 00:00:00,+,-,+,Mixed
CANBK,2018-03-01 00:00:00,-,-,+,Growth Funded by Debt
CANBK,2019-03-01 00:00:00,+,-,-,Reinvestor
CANBK,2020-03-01 00:00:00,-,-,+,Growth Funded by Debt
CANBK,2021-03-01 00:00:00,+,-,+,Mixed
CANBK,2022-03-01 00:00:00,+,-,+,Mixed
CANBK,2023-03-01 00:00:00,-,-,+,Growth Funded by Debt
CANBK,2024-03-01 00:00:00,+,-,-,Reinvestor
CHOLAFIN,2013-03-01 00:00:00,-,+,+,Distress Signal
CHOLAFIN,2014-03-01 00:00:00,-,-,+,Growth Funded by Debt
CHOLAFIN,2015-03-01 00:00:00,-,-,+,Growth Funded by Debt
CHOLAFIN,2016-03-01 00:00:00,-,-,+,Growth Funded by Debt
CHOLAFIN,2017-03-01 00:00:00,-,-,+,Growth Funded by Debt
CHOLAFIN,2018-03-01 00:00:00,-,-,+,Growth Funded by Debt
CHOLAFIN,2019-03-01 00:00:00,-,-,+,Growth Funded by Debt
CHOLAFIN,2020-03-01 00:00:00,-,-,+,Growth Funded by Debt
CHOLAFIN,2021-03-01 00:00:00,-,-,+,Growth Funded by Debt
CHOLAFIN,2022-03-01 00:00:00,-,+,+,Distress Signal
CHOLAFIN,2023-03-01 00:00:00,-,-,+,Growth Funded by Debt
CHOLAFIN,2024-03-01 00:00:00,-,-,+,Growth Funded by Debt
CIPLA,2013-03-01 00:00:00,+,-,+,Mixed
CIPLA,2014-03-01 00:00:00,+,-,-,Reinvestor
CIPLA,2015-03-01 00:00:00,+,-,+,Mixed
CIPLA,2016-03-01 00:00:00,+,-,+,Mixed
CIPLA,2017-03-01 00:00:00,+,-,-,Reinvestor
CIPLA,2018-03-01 00:00:00,+,-,-,Reinvestor
CIPLA,2019-03-01 00:00:00,+,-,-,Reinvestor
CIPLA,2020-03-01 00:00:00,+,+,-,Liquidating Assets
CIPLA,2021-03-01 00:00:00,+,-,-,Reinvestor
CIPLA,2022-03-01 00:00:00,+,-,-,Reinvestor
CIPLA,2023-03-01 00:00:00,+,-,-,Reinvestor
CIPLA,2024-03-01 00:00:00,+,-,-,Reinvestor
COALINDIA,2013-03-01 00:00:00,+,-,-,Reinvestor
COALINDIA,2014-03-01 00:00:00,+,+,-,Liquidating Assets
COALINDIA,2015-03-01 00:00:00,+,+,-,Liquidating Assets
COALINDIA,2016-03-01 00:00:00,+,+,-,Liquidating Assets
COALINDIA,2017-03-01 00:00:00,+,+,-,Liquidating Assets
COALINDIA,2018-03-01 00:00:00,+,-,-,Reinvestor
COALINDIA,2019-03-01 00:00:00,+,-,-,Reinvestor
COALINDIA,2020-03-01 00:00:00,+,+,-,Liquidating Assets
COALINDIA,2021-03-01 00:00:00,+,+,-,Liquidating Assets
COALINDIA,2022-03-01 00:00:00,+,-,-,Reinvestor
COALINDIA,2023-03-01 00:00:00,+,-,-,Reinvestor
COALINDIA,2024-03-01 00:00:00,+,-,-,Reinvestor
DABUR,2013-03-01 00:00:00,+,-,-,Reinvestor
DABUR,2014-03-01 00:00:00,+,-,-,Reinvestor
DABUR,2015-03-01 00:00:00,+,-,-,Reinvestor
DABUR,2016-03-01 00:00:00,+,-,-,Reinvestor
DABUR,2017-03-01 00:00:00,+,-,-,Reinvestor
DABUR,2018-03-01 00:00:00,+,-,-,Reinvestor
DABUR,2019-03-01 00:00:00,+,+,-,Liquidating Assets
DABUR,2020-03-01 00:00:00,+,-,-,Reinvestor
DABUR,2021-03-01 00:00:00,+,-,-,Reinvestor
DABUR,2022-03-01 00:00:00,+,-,-,Reinvestor
DABUR,2023-03-01 00:00:00,+,-,-,Reinvestor
DABUR,2024-03-01 00:00:00,+,-,-,Reinvestor
DIVISLAB,2013-03-01 00:00:00,+,-,-,Reinvestor
DIVISLAB,2014-03-01 00:00:00,+,-,-,Reinvestor
DIVISLAB,2015-03-01 00:00:00,+,-,-,Reinvestor
DIVISLAB,2016-03-01 00:00:00,+,-,-,Reinvestor
DIVISLAB,2017-03-01 00:00:00,+,-,+,Mixed
DIVISLAB,2018-03-01 00:00:00,+,-,-,Reinvestor
DIVISLAB,2019-03-01 00:00:00,+,-,-,Reinvestor
DIVISLAB,2020-03-01 00:00:00,+,-,-,Reinvestor
DIVISLAB,2021-03-01 00:00:00,+,+,-,Liquidating Assets
DIVISLAB,2022-03-01 00:00:00,+,-,-,Reinvestor
DIVISLAB,2023-03-01 00:00:00,+,-,-,Reinvestor
DIVISLAB,2024-03-01 00:00:00,+,-,-,Reinvestor
DLF,2013-03-01 00:00:00,+,+,-,Liquidating Assets
DLF,2014-03-01 00:00:00,+,+,-,Liquidating Assets
DLF,2015-03-01 00:00:00,+,+,-,Liquidating Assets
DLF,2016-03-01 00:00:00,+,-,-,Reinvestor
DLF,2017-03-01 00:00:00,-,+,+,Distress Signal
DLF,2018-03-01 00:00:00,+,-,-,Reinvestor
DLF,2019-03-01 00:00:00,+,+,+,Cash Accumulator
DLF,2020-03-01 00:00:00,+,+,-,Liquidating Assets
DLF,2021-03-01 00:00:00,+,+,-,Liquidating Assets
DLF,2022-03-01 00:00:00,+,+,-,Liquidating Assets
DLF,2023-03-01 00:00:00,+,-,-,Reinvestor
DLF,2024-03-01 00:00:00,+,-,+,Mixed
DMART,2013-03-01 00:00:00,+,-,+,Mixed
DMART,2014-03-01 00:00:00,+,-,+,Mixed
DMART,2015-03-01 00:00:00,+,-,+,Mixed
DMART,2016-03-01 00:00:00,+,-,+,Mixed
DMART,2017-03-01 00:00:00,+,-,+,Mixed
DMART,2018-03-01 00:00:00,+,+,-,Liquidating Assets
DMART,2019-03-01 00:00:00,+,-,+,Mixed
DMART,2020-03-01 00:00:00,+,-,+,Mixed
DMART,2021-03-01 00:00:00,+,-,-,Reinvestor
DMART,2022-03-01 00:00:00,+,-,-,Reinvestor
DMART,2023-03-01 00:00:00,+,-,-,Reinvestor
DMART,2024-03-01 00:00:00,+,-,-,Reinvestor
DRREDDY,2013-03-01 00:00:00,+,-,-,Reinvestor
DRREDDY,2014-03-01 00:00:00,+,-,-,Reinvestor
DRREDDY,2015-03-01 00:00:00,+,-,-,Reinvestor
DRREDDY,2016-03-01 00:00:00,+,-,-,Reinvestor
DRREDDY,2017-03-01 00:00:00,+,-,-,Reinvestor
DRREDDY,2018-03-01 00:00:00,+,-,-,Reinvestor
