company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
DRREDDY,2019-03-01 00:00:00,+,-,-,Reinvestor
DRREDDY,2020-03-01 00:00:00,+,-,-,Reinvestor
DRREDDY,2021-03-01 00:00:00,+,-,-,Reinvestor
DRREDDY,2022-03-01 00:00:00,+,-,-,Reinvestor
DRREDDY,2023-03-01 00:00:00,+,-,-,Reinvestor
DRREDDY,2024-03-01 00:00:00,+,-,-,Reinvestor
EICHERMOT,2012-12-01 00:00:00,+,-,-,Reinvestor
EICHERMOT,2013-12-01 00:00:00,+,-,-,Reinvestor
EICHERMOT,2014-12-01 00:00:00,+,-,-,Reinvestor
EICHERMOT,2016-03-01 00:00:00,+,-,-,Reinvestor
EICHERMOT,2017-03-01 00:00:00,+,-,+,Mixed
EICHERMOT,2018-03-01 00:00:00,+,-,-,Reinvestor
EICHERMOT,2019-03-01 00:00:00,+,-,-,Reinvestor
EICHERMOT,2020-03-01 00:00:00,+,-,-,Reinvestor
EICHERMOT,2021-03-01 00:00:00,+,-,-,Reinvestor
EICHERMOT,2022-03-01 00:00:00,+,-,-,Reinvestor
EICHERMOT,2023-03-01 00:00:00,+,-,-,Reinvestor
EICHERMOT,2024-03-01 00:00:00,+,-,-,Reinvestor
GAIL,2013-03-01 00:00:00,+,-,+,Mixed
GAIL,2014-03-01 00:00:00,+,-,-,Reinvestor
GAIL,2015-03-01 00:00:00,+,-,-,Reinvestor
GAIL,2016-03-01 00:00:00,+,-,-,Reinvestor
GAIL,2017-03-01 00:00:00,+,-,-,Reinvestor
GAIL,2018-03-01 00:00:00,+,-,-,Reinvestor
GAIL,2019-03-01 00:00:00,+,-,-,Reinvestor
GAIL,2020-03-01 00:00:00,+,-,+,Mixed
GAIL,2021-03-01 00:00:00,+,-,-,Reinvestor
GAIL,2022-03-01 00:00:00,+,-,-,Reinvestor
GAIL,2023-03-01 00:00:00,+,-,+,Mixed
GAIL,2024-03-01 00:00:00,+,-,-,Reinvestor
GODREJCP,2013-03-01 00:00:00,+,-,+,Mixed
GODREJCP,2014-03-01 00:00:00,+,-,-,Reinvestor
GODREJCP,2015-03-01 00:00:00,+,-,-,Reinvestor
GODREJCP,2016-03-01 00:00:00,+,-,-,Reinvestor
GODREJCP,2017-03-01 00:00:00,+,-,+,Mixed
GODREJCP,2018-03-01 00:00:00,+,-,-,Reinvestor
GODREJCP,2019-03-01 00:00:00,+,+,-,Liquidating Assets
GODREJCP,2020-03-01 00:00:00,+,-,-,Reinvestor
GODREJCP,2021-03-01 00:00:00,+,-,-,Reinvestor
GODREJCP,2022-03-01 00:00:00,+,-,-,Reinvestor
GODREJCP,2023-03-01 00:00:00,+,-,-,Reinvestor
GODREJCP,2024-03-01 00:00:00,+,-,+,Mixed
GRASIM,2013-03-01 00:00:00,+,-,+,Mixed
GRASIM,2014-03-01 00:00:00,+,-,-,Reinvestor
GRASIM,2015-03-01 00:00:00,+,-,-,Reinvestor
GRASIM,2016-03-01 00:00:00,+,-,-,Reinvestor
GRASIM,2017-03-01 00:00:00,+,-,-,Reinvestor
GRASIM,2018-03-01 00:00:00,-,+,+,Distress Signal
GRASIM,2019-03-01 00:00:00,-,-,+,Growth Funded by Debt
GRASIM,2020-03-01 00:00:00,+,-,-,Reinvestor
GRASIM,2021-03-01 00:00:00,+,-,-,Reinvestor
GRASIM,2022-03-01 00:00:00,+,-,-,Reinvestor
GRASIM,2023-03-01 00:00:00,-,-,+,Growth Funded by Debt
GRASIM,2024-03-01 00:00:00,-,-,+,Growth Funded by Debt
HAL,2017-03-01 00:00:00,-,+,-,Unknown
HAL,2018-03-01 00:00:00,-,+,-,Unknown
HAL,2019-03-01 00:00:00,-,+,+,Distress Signal
HAL,2020-03-01 00:00:00,+,-,+,Mixed
HAL,2021-03-01 00:00:00,+,-,-,Reinvestor
HAL,2022-03-01 00:00:00,+,-,-,Reinvestor
HAL,2023-03-01 00:00:00,+,-,-,Reinvestor
HAL,2024-03-01 00:00:00,+,-,-,Reinvestor
HAVELLS,2013-03-01 00:00:00,+,-,-,Reinvestor
HAVELLS,2014-03-01 00:00:00,+,-,-,Reinvestor
HAVELLS,2015-03-01 00:00:00,+,-,-,Reinvestor
HAVELLS,2016-03-01 00:00:00,+,-,-,Reinvestor
HAVELLS,2017-03-01 00:00:00,+,-,-,Reinvestor
HAVELLS,2018-03-01 00:00:00,+,-,-,Reinvestor
HAVELLS,2019-03-01 00:00:00,+,+,-,Liquidating Assets
HAVELLS,2020-03-01 00:00:00,+,-,-,Reinvestor
HAVELLS,2021-03-01 00:00:00,+,-,+,Mixed
HAVELLS,2022-03-01 00:00:00,+,-,-,Reinvestor
HAVELLS,2023-03-01 00:00:00,+,+,-,Liquidating Assets
HAVELLS,2024-03-01 00:00:00,+,-,-,Reinvestor
HCLTECH,2013-06-01 00:00:00,+,-,-,Reinvestor
HCLTECH,2014-06-01 00:00:00,+,-,-,Reinvestor
HCLTECH,2015-06-01 00:00:00,+,-,-,Reinvestor
HCLTECH,2016-03-01 00:00:00,+,-,-,Reinvestor
HCLTECH,2017-03-01 00:00:00,+,-,-,Reinvestor
HCLTECH,2018-03-01 00:00:00,+,-,-,Reinvestor
HCLTECH,2019-03-01 00:00:00,+,-,-,Reinvestor
HCLTECH,2020-03-01 00:00:00,+,-,-,Reinvestor
HCLTECH,2021-03-01 00:00:00,+,-,-,Reinvestor
HCLTECH,2022-03-01 00:00:00,+,+,-,Liquidating Assets
HCLTECH,2023-03-01 00:00:00,+,-,-,Reinvestor
HCLTECH,2024-03-01 00:00:00,+,-,-,Reinvestor
HDFCBANK,2013-03-01 00:00:00,-,-,+,Growth Funded by Debt
HDFCBANK,2014-03-01 00:00:00,+,-,+,Mixed
HDFCBANK,2015-03-01 00:00:00,-,-,+,Growth Funded by Debt
HDFCBANK,2016-03-01 00:00:00,-,-,+,Growth Funded by Debt
HDFCBANK,2017-03-01 00:00:00,+,-,-,Reinvestor
HDFCBANK,2018-03-01 00:00:00,+,-,+,Mixed
HDFCBANK,2019-03-01 00:00:00,-,-,+,Growth Funded by Debt
HDFCBANK,2020-03-01 00:00:00,-,-,+,Growth Funded by Debt
HDFCBANK,2021-03-01 00:00:00,+,-,-,Reinvestor
HDFCBANK,2022-03-01 00:00:00,-,-,+,Growth Funded by Debt
HDFCBANK,2023-03-01 00:00:00,+,-,+,Mixed
HDFCBANK,2024-03-01 00:00:00,+,+,-,Liquidating Assets
HDFCLIFE,2013-03-01 00:00:00,-,-,-,Pre-Revenue
HDFCLIFE,2014-03-01 00:00:00,-,-,-,Pre-Revenue
HDFCLIFE,2015-03-01 00:00:00,+,-,-,Reinvestor
HDFCLIFE,2016-03-01 00:00:00,+,-,-,Reinvestor
HDFCLIFE,2017-03-01 00:00:00,+,-,-,Reinvestor
HDFCLIFE,2018-03-01 00:00:00,+,-,-,Reinvestor
HDFCLIFE,2019-03-01 00:00:00,+,-,-,Reinvestor
HDFCLIFE,2020-03-01 00:00:00,+,-,+,Mixed
HDFCLIFE,2021-03-01 00:00:00,+,-,+,Mixed
HDFCLIFE,2022-03-01 00:00:00,+,-,-,Reinvestor
HDFCLIFE,2023-03-01 00:00:00,+,-,+,Mixed
HDFCLIFE,2024-03-01 00:00:00,+,-,-,Reinvestor
HEROMOTOCO,2014-03-01 00:00:00,+,-,-,Reinvestor
HEROMOTOCO,2015-03-01 00:00:00,+,+,-,Liquidating Assets
HEROMOTOCO,2016-03-01 00:00:00,+,-,-,Reinvestor
HEROMOTOCO,2017-03-01 00:00:00,+,-,-,Reinvestor
HEROMOTOCO,2018-03-01 00:00:00,+,-,-,Reinvestor
HEROMOTOCO,2019-03-01 00:00:00,+,+,-,Liquidating Assets
HEROMOTOCO,2020-03-01 00:00:00,+,-,-,Reinvestor
HEROMOTOCO,2021-03-01 00:00:00,+,-,-,Reinvestor
HEROMOTOCO,2022-03-01 00:00:00,+,-,-,Reinvestor
HEROMOTOCO,2023-03-01 00:00:00,+,-,-,Reinvestor
HEROMOTOCO,2024-03-01 00:00:00,+,-,-,Reinvestor
HINDALCO,2013-03-01 00:00:00,+,-,+,Mixed
HINDALCO,2014-03-01 00:00:00,+,-,+,Mixed
HINDALCO,2015-03-01 00:00:00,+,-,-,Reinvestor
HINDALCO,2016-03-01 00:00:00,+,-,-,Reinvestor
HINDALCO,2017-03-01 00:00:00,+,-,-,Reinvestor
HINDALCO,2018-03-01 00:00:00,+,+,-,Liquidating Assets
HINDALCO,2019-03-01 00:00:00,+,-,-,Reinvestor
HINDALCO,2020-03-01 00:00:00,+,-,+,Mixed
HINDALCO,2021-03-01 00:00:00,+,-,-,Reinvestor
HINDALCO,2022-03-01 00:00:00,+,-,-,Reinvestor
HINDALCO,2023-03-01 00:00:00,+,-,-,Reinvestor
HINDALCO,2024-03-01 00:00:00,+,-,-,Reinvestor
HINDUNILVR,2013-03-01 00:00:00,+,+,-,Liquidating Assets
HINDUNILVR,2014-03-01 00:00:00,+,-,-,Reinvestor
HINDUNILVR,2015-03-01 00:00:00,+,+,-,Liquidating Assets
HINDUNILVR,2016-03-01 00:00:00,+,-,-,Reinvestor
HINDUNILVR,2017-03-01 00:00:00,+,-,-,Reinvestor
HINDUNILVR,2018-03-01 00:00:00,+,-,-,Reinvestor
HINDUNILVR,2019-03-01 00:00:00,+,-,-,Reinvestor
HINDUNILVR,2020-03-01 00:00:00,+,+,-,Liquidating Assets
HINDUNILVR,2021-03-01 00:00:00,+,-,-,Reinvestor
HINDUNILVR,2022-03-01 00:00:00,+,-,-,Reinvestor
HINDUNILVR,2023-03-01 00:00:00,+,-,-,Reinvestor
HINDUNILVR,2024-03-01 00:00:00,+,-,-,Reinvestor
ICICIBANK,2013-03-01 00:00:00,+,-,+,Mixed
ICICIBANK,2014-03-01 00:00:00,+,-,+,Mixed
ICICIBANK,2015-03-01 00:00:00,-,-,+,Growth Funded by Debt
ICICIBANK,2016-03-01 00:00:00,+,-,+,Mixed
ICICIBANK,2017-03-01 00:00:00,+,-,-,Reinvestor
ICICIBANK,2018-03-01 00:00:00,+,-,+,Mixed
ICICIBANK,2019-03-01 00:00:00,+,-,-,Reinvestor
ICICIBANK,2020-03-01 00:00:00,+,-,+,Mixed
ICICIBANK,2021-03-01 00:00:00,+,-,-,Reinvestor
ICICIBANK,2022-03-01 00:00:00,+,-,+,Mixed
ICICIBANK,2023-03-01 00:00:00,-,-,+,Growth Funded by Debt
ICICIBANK,2024-03-01 00:00:00,+,-,+,Mixed
ICICIGI,2013-03-01 00:00:00,+,-,+,Mixed
ICICIGI,2014-03-01 00:00:00,+,-,+,Mixed
ICICIGI,2015-03-01 00:00:00,-,+,-,Unknown
ICICIGI,2016-03-01 00:00:00,+,-,-,Reinvestor
ICICIGI,2017-03-01 00:00:00,+,-,+,Mixed
ICICIGI,2018-03-01 00:00:00,+,-,-,Reinvestor
ICICIGI,2019-03-01 00:00:00,+,-,-,Reinvestor
ICICIGI,2020-03-01 00:00:00,+,-,-,Reinvestor
ICICIGI,2021-03-01 00:00:00,+,-,-,Reinvestor
ICICIGI,2022-03-01 00:00:00,+,+,-,Liquidating Assets
ICICIGI,2023-03-01 00:00:00,+,-,-,Reinvestor
ICICIGI,2024-03-01 00:00:00,+,-,-,Reinvestor
ICICIPRULI,2013-03-01 00:00:00,-,+,-,Unknown
ICICIPRULI,2014-03-01 00:00:00,-,+,-,Unknown
ICICIPRULI,2015-03-01 00:00:00,+,-,-,Reinvestor
ICICIPRULI,2016-03-01 00:00:00,+,+,-,Liquidating Assets
ICICIPRULI,2017-03-01 00:00:00,+,-,-,Reinvestor
ICICIPRULI,2018-03-01 00:00:00,+,-,-,Reinvestor
ICICIPRULI,2019-03-01 00:00:00,+,-,-,Reinvestor
ICICIPRULI,2020-03-01 00:00:00,+,-,-,Reinvestor
ICICIPRULI,2021-03-01 00:00:00,+,-,+,Mixed
ICICIPRULI,2022-03-01 00:00:00,+,-,-,Reinvestor
ICICIPRULI,2023-03-01 00:00:00,+,-,-,Reinvestor
ICICIPRULI,2024-03-01 00:00:00,-,+,-,Unknown
INDIGO,2013-03-01 00:00:00,+,-,+,Mixed
INDIGO,2014-03-01 00:00:00,+,-,+,Mixed
INDIGO,2015-03-01 00:00:00,+,-,-,Reinvestor
INDIGO,2016-03-01 00:00:00,+,-,-,Reinvestor
INDIGO,2017-03-01 00:00:00,+,-,-,Reinvestor
INDIGO,2018-03-01 00:00:00,+,-,+,Mixed
INDIGO,2019-03-01 00:00:00,+,-,-,Reinvestor
INDIGO,2020-03-01 00:00:00,+,-,-,Reinvestor
INDIGO,2021-03-01 00:00:00,-,+,-,Unknown
INDIGO,2022-03-01 00:00:00,+,+,-,Liquidating Assets
INDIGO,2023-03-01 00:00:00,+,-,-,Reinvestor
INDIGO,2024-03-01 00:00:00,+,-,-,Reinvestor
INDUSINDBK,2013-03-01 00:00:00,-,-,+,Growth Funded by Debt
INDUSINDBK,2014-03-01 00:00:00,-,-,+,Growth Funded by Debt
INDUSINDBK,2015-03-01 00:00:00,-,-,+,Growth Funded by Debt
INDUSINDBK,2016-03-01 00:00:00,-,-,+,Growth Funded by Debt
INDUSINDBK,2017-03-01 00:00:00,+,-,-,Reinvestor
INDUSINDBK,2018-03-01 00:00:00,-,-,+,Growth Funded by Debt
INDUSINDBK,2019-03-01 00:00:00,-,-,+,Growth Funded by Debt
INDUSINDBK,2020-03-01 00:00:00,-,+,+,Distress Signal
INDUSINDBK,2021-03-01 00:00:00,+,-,-,Reinvestor
INDUSINDBK,2022-03-01 00:00:00,+,-,-,Reinvestor
INDUSINDBK,2023-03-01 00:00:00,-,-,+,Growth Funded by Debt
INDUSINDBK,2024-03-01 00:00:00,-,-,-,Pre-Revenue
INFY,2013-03-01 00:00:00,+,-,-,Reinvestor
INFY,2014-03-01 00:00:00,+,-,-,Reinvestor
INFY,2015-03-01 00:00:00,+,+,-,Liquidating Assets
INFY,2016-03-01 00:00:00,+,-,-,Reinvestor
INFY,2017-03-01 00:00:00,+,-,-,Reinvestor
INFY,2018-03-01 00:00:00,+,+,-,Liquidating Assets
INFY,2019-03-01 00:00:00,+,-,-,Reinvestor
INFY,2020-03-01 00:00:00,+,-,-,Reinvestor
INFY,2021-03-01 00:00:00,+,-,-,Reinvestor
INFY,2022-03-01 00:00:00,+,-,-,Reinvestor
INFY,2023-03-01 00:00:00,+,-,-,Reinvestor
INFY,2024-03-01 00:00:00,+,-,-,Reinvestor
IOC,2013-03-01 00:00:00,+,-,+,Mixed
IOC,2014-03-01 00:00:00,+,-,-,Reinvestor
IOC,2015-03-01 00:00:00,+,-,-,Reinvestor
IOC,2016-03-01 00:00:00,+,-,-,Reinvestor
IOC,2017-03-01 00:00:00,+,-,-,Reinvestor
IOC,2018-03-01 00:00:00,+,-,-,Reinvestor
IOC,2019-03-01 00:00:00,+,-,+,Mixed
IOC,2020-03-01 00:00:00,+,-,+,Mixed
IOC,2021-03-01 00:00:00,+,-,-,Reinvestor
IOC,2022-03-01 00:00:00,+,-,-,Reinvestor
IOC,2023-03-01 00:00:00,+,-,-,Reinvestor
IOC,2024-03-01 00:00:00,+,-,-,Reinvestor
IRCTC,2015-03-01 00:00:00,+,-,-,Reinvestor
IRCTC,2016-03-01 00:00:00,+,+,-,Liquidating Assets
IRCTC,2017-03-01 00:00:00,+,+,-,Liquidating Assets
IRCTC,2018-03-01 00:00:00,+,+,-,Liquidating Assets
IRCTC,2019-03-01 00:00:00,+,-,-,Reinvestor
IRCTC,2020-03-01 00:00:00,+,+,-,Liquidating Assets
IRCTC,2021-03-01 00:00:00,+,-,-,Reinvestor
IRCTC,2022-03-01 00:00:00,+,-,-,Reinvestor
IRCTC,2023-03-01 00:00:00,+,-,-,Reinvestor
IRCTC,2024-03-01 00:00:00,+,-,-,Reinvestor
IRFC,2016-03-01 00:00:00,-,+,+,Distress Signal
IRFC,2017-03-01 00:00:00,-,+,+,Distress Signal
IRFC,2018-03-01 00:00:00,-,+,+,Distress Signal
IRFC,2019-03-01 00:00:00,-,+,+,Distress Signal
IRFC,2020-03-01 00:00:00,-,+,+,Distress Signal
IRFC,2021-03-01 00:00:00,-,+,+,Distress Signal
IRFC,2022-03-01 00:00:00,-,-,+,Growth Funded by Debt
IRFC,2023-03-01 00:00:00,-,+,+,Distress Signal
IRFC,2024-03-01 00:00:00,+,-,-,Reinvestor
ITC,2013-03-01 00:00:00,+,-,-,Reinvestor
ITC,2014-03-01 00:00:00,+,-,-,Reinvestor
ITC,2015-03-01 00:00:00,+,-,-,Reinvestor
ITC,2016-03-01 00:00:00,+,-,-,Reinvestor
ITC,2017-03-01 00:00:00,+,-,-,Reinvestor
ITC,2018-03-01 00:00:00,+,-,-,Reinvestor
ITC,2019-03-01 00:00:00,+,-,-,Reinvestor
ITC,2020-03-01 00:00:00,+,-,-,Reinvestor
ITC,2021-03-01 00:00:00,+,+,-,Liquidating Assets
ITC,2022-03-01 00:00:00,+,-,-,Reinvestor
ITC,2023-03-01 00:00:00,+,-,-,Reinvestor
ITC,2024-03-01 00:00:00,+,+,-,Liquidating Assets
JINDALSTEL,2013-03-01 00:00:00,+,-,+,Mixed
JINDALSTEL,2014-03-01 00:00:00,+,-,+,Mixed
JINDALSTEL,2015-03-01 00:00:00,+,-,+,Mixed
JINDALSTEL,2016-03-01 00:00:00,+,-,-,Reinvestor
JINDALSTEL,2017-03-01 00:00:00,+,-,-,Reinvestor
JINDALSTEL,2018-03-01 00:00:00,+,-,-,Reinvestor
JINDALSTEL,2019-03-01 00:00:00,+,-,-,Reinvestor
JINDALSTEL,2020-03-01 00:00:00,+,-,-,Reinvestor
JINDALSTEL,2021-03-01 00:00:00,+,-,-,Reinvestor
JINDALSTEL,2022-03-01 00:00:00,+,-,-,Reinvestor
JINDALSTEL,2023-03-01 00:00:00,+,-,-,Reinvestor
JINDALSTEL,2024-03-01 00:00:00,+,-,+,Mixed
JIOFIN,2023-03-01 00:00:00,+,-,-,Reinvestor
JIOFIN,2024-03-01 00:00:00,-,+,-,Unknown
JSWENERGY,2013-03-01 00:00:00,+,-,-,Reinvestor
JSWENERGY,2014-03-01 00:00:00,+,-,-,Reinvestor
JSWENERGY,2015-03-01 00:00:00,+,-,-,Reinvestor
JSWENERGY,2016-03-01 00:00:00,+,-,-,Reinvestor
JSWENERGY,2017-03-01 00:00:00,+,-,-,Reinvestor
JSWENERGY,2018-03-01 00:00:00,+,-,-,Reinvestor
JSWENERGY,2019-03-01 00:00:00,+,-,-,Reinvestor
JSWENERGY,2020-03-01 00:00:00,+,+,-,Liquidating Assets
JSWENERGY,2021-03-01 00:00:00,+,-,-,Reinvestor
JSWENERGY,2022-03-01 00:00:00,+,-,-,Reinvestor
JSWENERGY,2023-03-01 00:00:00,+,-,+,Mixed
JSWENERGY,2024-03-01 00:00:00,+,-,+,Mixed
JSWSTEEL,2013-03-01 00:00:00,+,-,-,Reinvestor
JSWSTEEL,2014-03-01 00:00:00,+,-,+,Mixed
JSWSTEEL,2015-03-01 00:00:00,+,-,-,Reinvestor
JSWSTEEL,2016-03-01 00:00:00,+,-,-,Reinvestor
JSWSTEEL,2017-03-01 00:00:00,+,-,-,Reinvestor
JSWSTEEL,2018-03-01 00:00:00,+,-,-,Reinvestor
JSWSTEEL,2019-03-01 00:00:00,+,-,+,Mixed
JSWSTEEL,2020-03-01 00:00:00,+,-,+,Mixed
JSWSTEEL,2021-03-01 00:00:00,+,-,-,Reinvestor
JSWSTEEL,2022-03-01 00:00:00,+,-,-,Reinvestor
JSWSTEEL,2023-03-01 00:00:00,+,-,-,Reinvestor
JSWSTEEL,2024-03-01 00:00:00,+,-,-,Reinvestor
KOTAKBANK,2013-03-01 00:00:00,+,-,+,Mixed
KOTAKBANK,2014-03-01 00:00:00,+,-,-,Reinvestor
KOTAKBANK,2015-03-01 00:00:00,+,-,+,Mixed
KOTAKBANK,2016-03-01 00:00:00,+,-,+,Mixed
KOTAKBANK,2017-03-01 00:00:00,+,-,+,Mixed
KOTAKBANK,2018-03-01 00:00:00,-,-,+,Growth Funded by Debt
KOTAKBANK,2019-03-01 00:00:00,+,-,+,Mixed
KOTAKBANK,2020-03-01 00:00:00,+,-,-,Reinvestor
KOTAKBANK,2021-03-01 00:00:00,+,-,-,Reinvestor
KOTAKBANK,2022-03-01 00:00:00,+,-,+,Mixed
KOTAKBANK,2023-03-01 00:00:00,-,-,+,Growth Funded by Debt
KOTAKBANK,2024-03-01 00:00:00,+,-,+,Mixed
LICI,2019-03-01 00:00:00,+,+,-,Liquidating Assets
LICI,2020-03-01 00:00:00,+,-,-,Reinvestor
LICI,2021-03-01 00:00:00,+,+,-,Liquidating Assets
LICI,2022-03-01 00:00:00,-,+,+,Distress Signal
LICI,2023-03-01 00:00:00,+,-,-,Reinvestor
LICI,2024-03-01 00:00:00,+,-,-,Reinvestor
LODHA,2016-03-01 00:00:00,+,-,+,Mixed
LODHA,2017-03-01 00:00:00,+,-,-,Reinvestor
LODHA,2018-03-01 00:00:00,+,-,+,Mixed
LODHA,2019-03-01 00:00:00,-,-,+,Growth Funded by Debt
LODHA,2020-03-01 00:00:00,+,+,-,Liquidating Assets
LODHA,2021-03-01 00:00:00,+,+,-,Liquidating Assets
LODHA,2022-03-01 00:00:00,+,+,-,Liquidating Assets
LODHA,2023-03-01 00:00:00,+,+,-,Liquidating Assets
LODHA,2024-03-01 00:00:00,+,-,+,Mixed
LT,2013-03-01 00:00:00,-,-,+,Growth Funded by Debt
LT,2014-03-01 00:00:00,-,-,+,Growth Funded by Debt
LT,2015-03-01 00:00:00,-,-,+,Growth Funded by Debt
LT,2016-03-01 00:00:00,-,-,+,Growth Funded by Debt
LT,2017-03-01 00:00:00,+,-,+,Mixed
LT,2018-03-01 00:00:00,-,+,+,Distress Signal
LT,2019-03-01 00:00:00,-,-,+,Growth Funded by Debt
LT,2020-03-01 00:00:00,+,-,+,Mixed
LT,2021-03-01 00:00:00,+,-,-,Reinvestor
LT,2022-03-01 00:00:00,+,-,-,Reinvestor
LT,2023-03-01 00:00:00,+,-,-,Reinvestor
LT,2024-03-01 00:00:00,+,+,-,Liquidating Assets
LTIM,2013-03-01 00:00:00,+,-,-,Reinvestor
LTIM,2014-03-01 00:00:00,+,+,-,Liquidating Assets
LTIM,2015-03-01 00:00:00,+,-,-,Reinvestor
LTIM,2016-03-01 00:00:00,+,-,-,Reinvestor
LTIM,2017-03-01 00:00:00,+,-,-,Reinvestor
LTIM,2018-03-01 00:00:00,+,-,-,Reinvestor
LTIM,2019-03-01 00:00:00,+,-,-,Reinvestor
LTIM,2020-03-01 00:00:00,+,-,-,Reinvestor
LTIM,2021-03-01 00:00:00,+,-,-,Reinvestor
LTIM,2022-03-01 00:00:00,+,-,-,Reinvestor
LTIM,2023-03-01 00:00:00,+,-,-,Reinvestor
LTIM,2024-03-01 00:00:00,+,-,-,Reinvestor
M&M,2013-03-01 00:00:00,-,-,+,Growth Funded by Debt
M&M,2014-03-01 00:00:00,-,-,+,Growth Funded by Debt
M&M,2015-03-01 00:00:00,+,-,+,Mixed
M&M,2016-03-01 00:00:00,+,-,+,Mixed
M&M,2017-03-01 00:00:00,+,-,+,Mixed
M&M,2018-03-01 00:00:00,+,-,+,Mixed
M&M,2019-03-01 00:00:00,-,-,+,Growth Funded by Debt
M&M,2020-03-01 00:00:00,-,-,+,Growth Funded by Debt
M&M,2021-03-01 00:00:00,+,-,+,Mixed
M&M,2022-03-01 00:00:00,+,-,-,Reinvestor
M&M,2023-03-01 00:00:00,-,-,+,Growth Funded by Debt
M&M,2024-03-01 00:00:00,-,-,+,Growth Funded by Debt
MARUTI,2013-03-01 00:00:00,+,-,-,Reinvestor
MARUTI,2014-03-01 00:00:00,+,-,-,Reinvestor
MARUTI,2015-03-01 00:00:00,+,-,-,Reinvestor
MARUTI,2016-03-01 00:00:00,+,-,-,Reinvestor
MARUTI,2017-03-01 00:00:00,+,-,-,Reinvestor
MARUTI,2018-03-01 00:00:00,+,-,-,Reinvestor
MARUTI,2019-03-01 00:00:00,+,-,-,Reinvestor
MARUTI,2020-03-01 00:00:00,+,-,-,Reinvestor
MARUTI,2021-03-01 00:00:00,+,-,-,Reinvestor
MARUTI,2022-03-01 00:00:00,+,-,-,Reinvestor
MARUTI,2023-03-01 00:00:00,+,-,-,Reinvestor
MARUTI,2024-03-01 00:00:00,+,-,-,Reinvestor
MOTHERSON,2013-03-01 00:00:00,+,-,-,Reinvestor
MOTHERSON,2014-03-01 00:00:00,+,-,-,Reinvestor
MOTHERSON,2015-03-01 00:00:00,+,-,+,Mixed
MOTHERSON,2016-03-01 00:00:00,+,-,-,Reinvestor
MOTHERSON,2017-03-01 00:00:00,+,-,+,Mixed
MOTHERSON,2018-03-01 00:00:00,+,-,-,Reinvestor
MOTHERSON,2019-03-01 00:00:00,+,-,-,Reinvestor
MOTHERSON,2020-03-01 00:00:00,+,-,-,Reinvestor
MOTHERSON,2021-03-01 00:00:00,+,-,-,Reinvestor
MOTHERSON,2022-03-01 00:00:00,+,-,-,Reinvestor
MOTHERSON,2023-03-01 00:00:00,+,-,-,Reinvestor
MOTHERSON,2024-03-01 00:00:00,+,-,+,Mixed
NAUKRI,2013-03-01 00:00:00,+,-,-,Reinvestor
NAUKRI,2014-03-01 00:00:00,+,-,+,Mixed
NAUKRI,2015-03-01 00:00:00,+,-,+,Mixed
NAUKRI,2016-03-01 00:00:00,+,-,-,Reinvestor
NAUKRI,2017-03-01 00:00:00,+,-,-,Reinvestor
NAUKRI,2018-03-01 00:00:00,+,-,-,Reinvestor
NAUKRI,2019-03-01 00:00:00,+,-,-,Reinvestor
NAUKRI,2020-03-01 00:00:00,+,+,-,Liquidating Assets
NAUKRI,2021-03-01 00:00:00,+,-,+,Mixed
NAUKRI,2022-03-01 00:00:00,+,-,+,Mixed
NAUKRI,2023-03-01 00:00:00,+,-,+,Mixed
NAUKRI,2024-03-01 00:00:00,+,-,+,Mixed
NESTLEIND,2013-12-01 00:00:00,+,-,-,Reinvestor
NESTLEIND,2014-12-01 00:00:00,+,-,-,Reinvestor
NESTLEIND,2015-12-01 00:00:00,+,-,-,Reinvestor
